id_loker,pulau,provinsi,job_position,company_name,years_of_experience,years_of_experience_cat,average_processing_time,company_industry,company_size,work_environment_waktu_bekerja,work_environment_gaya_berpakaian,work_environment_gaya_berpakaian_contoh,work_environment_tunjangan,work_environment_bahasa,platform,pendidikan
5602,jawa,dki jakarta,barista,radja caffe,3,0 - 4 tahun,1,Makanan & Minuman/Katering/Restoran,1- 50 pekerja,tidak spesifik,formal,kemeja polos & dasi,tidak tersedia,inggris,jobstreet,"d3, s1"
5603,jawa,dki jakarta,project manager,PT Djasa Ubersakti,5,5 - 9 tahun,1,Konstruksi/Bangunan/Teknik,51 - 200 pekerja,senin - jumat,bisnis,kemeja,kesehatan,indonesia,jobstreet,s1
5604,tidak diketahui,tidak diketahui,sales engineer,PT Citra Airindo Abadi,3,0 - 4 tahun,14,Manufaktur/Produksi,51 - 200 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum",indonesia,jobstreet,d3
5605,jawa,jawa barat,finance & accounting staff,PT Balai Lelang Caready,1,0 - 4 tahun,14,Automobil/Mesin Tambahan Automotif/Kendaraan,1- 50 pekerja,sabtu,bisnis,kemeja,"kesehatan, umum",indonesia,jobstreet,s1
5606,jawa,dki jakarta,procurement manager,SCG,5,5 - 9 tahun,14,Manufaktur/Produksi,2001 - 5000 pekerja,senin - jumat,formal,kemeja polos & dasi,"kesehatan, umum",inggris,jobstreet,"s1, s2, s3"
5607,jawa,dki jakarta,customer service,PT Kelly Services Indonesia (Recruitment Firm),5,5 - 9 tahun,14,Manajemen/Konsulting HR,1001 - 2000 pekerja,tidak tersedia,tidak spesifik,tidak spesifik,tidak tersedia,tidak dicantumkan,jobstreet,s1
5608,jawa,dki jakarta,sales admin online & offline,PT Maha Multi Kreasi,2,0 - 4 tahun,14,Retail/Merchandise,1- 50 pekerja,sabtu,bisnis,kemeja,kacamata,indonesia,jobstreet,d3
5609,sumatera,sumatera selatan,pengawas lapangan,FIBERSTAR (PT. Mega Akses Persada),1,0 - 4 tahun,14,Telekomunikasi,201 - 500 pekerja,senin - jumat,kasual,kaos,"kesehatan, umum, kacamata, bpjs kesehatan",indonesia,jobstreet,d3
5610,jawa,jawa timur,google technical support / engineer,PT. EIKON Technology,3,0 - 4 tahun,10,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)",1- 50 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum, bonus, pendidikan, bpjs kesehatan, jabatan",indonesia,jobstreet,s1
5611,jawa,dki jakarta,internal audit executive,PT Unza Vitalis,4,0 - 4 tahun,14,Produk Konsumen/Barang konsumen yang bergerak cepat,1001 - 2000 pekerja,senin - jumat,bisnis,kemeja,kesehatan,indonesia,jobstreet,s1
5612,jawa,jawa timur,supervisor logistik,PT Sarana Logistik Indonesia,5,5 - 9 tahun,4,Transportasi/Logistik,1- 50 pekerja,senin - jumat,bisnis,kemeja,tidak tersedia,indonesia,jobstreet,s1
5613,jawa,dki jakarta,hris specialist,PT Sentral Link Solutions,3,0 - 4 tahun,14,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)",1- 50 pekerja,senin - jumat,formal,kemeja polos & dasi,"bpjs kesehatan, asuransi, jht, pensiun",indonesia,jobstreet,s1
5614,jawa,dki jakarta,supervisor teknisi,PT Fauzi Panca Manunggal,5,5 - 9 tahun,14,Properti/Real Estate,51 - 200 pekerja,senin - jumat,bisnis,kemeja,kesehatan,"indonesia, inggris",jobstreet,"d3, s1"
5615,jawa,banten,asisten pabrik,PT Jelambar Agung Utama,2,0 - 4 tahun,3,Akuntansi/Audit/Pelayanan Pajak,1- 50 pekerja,senin - sabtu,formal,kemeja polos & dasi,"umum, transportasi",indonesia,jobstreet,s1
5616,sulawesi,sulawesi tengah,ahli geologi,PT NIKELINDO PERSADA NUSANTARA,2,0 - 4 tahun,11,Pertambangan,1- 50 pekerja,senin - jumat,kasual,kaos,umum,"indonesia, inggris",jobstreet,s1
5617,jawa,banten,finance accountant,PT Vivo Mobile Indonesia,2,0 - 4 tahun,14,Telekomunikasi,501 - 1000 pekerja,senin - jumat,kasual,kaos,"kesehatan, umum",inggris,jobstreet,s1
5618,jawa,banten,recruitment specialist,Matana University,3,0 - 4 tahun,14,Pendidikan,51 - 200 pekerja,senin - jumat,bisnis,kemeja,kesehatan,indonesia,jobstreet,s1
5619,sumatera,sumatera utara,stevedoring operation officer,FKS Group,3,0 - 4 tahun,14,Manufaktur/Produksi,1001 - 2000 pekerja,senin - jumat,bisnis,kemeja,kesehatan,indonesia,jobstreet,"s1, d3"
5620,tidak diketahui,tidak diketahui,kepala bagian kehutanan,PT MAHAKARYA MAJU BERSAMA,7,5 - 9 tahun,8,Umum & Grosir,1- 50 pekerja,senin - jumat,kasual,kaos,tidak tersedia,indonesia,jobstreet,s1
5621,jawa,dki jakarta,interior designer,PT Chandra Jaya Sukses,3,0 - 4 tahun,14,Umum & Grosir,51 - 200 pekerja,senin - jumat,bisnis,kemeja,kesehatan,indonesia,jobstreet,s1
5622,sumatera,sumatera utara,stevedoring head of operation,FKS Group,3,0 - 4 tahun,14,Manufaktur/Produksi,1001 - 2000 pekerja,senin - jumat,bisnis,kemeja,kesehatan,indonesia,jobstreet,"s1, d3"
5623,jawa,dki jakarta,data analyst merchandising,JD .ID (PT Ritel Bersama Nasional),4,0 - 4 tahun,14,Retail/Merchandise,201 - 500 pekerja,senin - jumat,kasual,kaos,"kesehatan, umum, kacamata",inggris,jobstreet,"s1, s2, s3"
5624,jawa,dki jakarta,audit supervisor,KAP Morhan dan Rekan,4,0 - 4 tahun,2,Akuntansi/Audit/Pelayanan Pajak,51 - 200 pekerja,senin - jumat,formal,kemeja polos & dasi,"kesehatan, umum, pendidikan, bonus","indonesia, inggris",jobstreet,s1
