id_loker,provinsi,pendidikan
323,dki jakarta,S1
324,jawa barat,S1
325,jawa barat,S1
325,jawa barat,S2
325,jawa barat,S3
326,jawa barat,D3
326,jawa barat,S1
326,jawa barat,S2
326,jawa barat,S3
327,tidak diketahui,D3
327,tidak diketahui,S1
328,jawa tengah,TIDAK DICANTUMKAN
329,dki jakarta,S1
330,dki jakarta,TIDAK DICANTUMKAN
331,bali,TIDAK DICANTUMKAN
332,jawa tengah,PROFESI
333,jawa timur,D3
333,jawa timur,S1
334,dki jakarta,TIDAK DICANTUMKAN
335,banten,S1
336,nusa tenggara timur,S1
337,dki jakarta,PROFESI
337,dki jakarta,S1
338,dki jakarta,S1
339,dki jakarta,S1
340,dki jakarta,S1
341,jawa tengah,TIDAK DICANTUMKAN
342,dki jakarta,S1
343,tidak diketahui,S1
344,jawa barat,TIDAK DICANTUMKAN
345,kalimantan selatan,S1
346,jawa timur,D3
346,jawa timur,S1
347,di yogyakarta,TIDAK DICANTUMKAN
348,tidak diketahui,D3
349,banten,D3
350,kalimantan tengah,D3
351,maluku utara,SMA
351,maluku utara,D3
352,jawa barat,TIDAK DICANTUMKAN
353,dki jakarta,S1
354,jawa timur,D3
355,kepulauan riau,PROFESI
355,kepulauan riau,S2
355,kepulauan riau,S3
356,banten,D3
357,jawa barat,D3
358,dki jakarta,S1
359,dki jakarta,S1
360,sulawesi utara,D3
361,banten,S1
362,dki jakarta,S1
363,jawa timur,TIDAK DICANTUMKAN
364,dki jakarta,S1
365,jawa timur,S1
366,dki jakarta,S1
367,sulawesi selatan,S1
368,dki jakarta,TIDAK DICANTUMKAN
369,banten,D3
369,banten,S1
370,tidak diketahui,TIDAK DICANTUMKAN
371,banten,TIDAK DICANTUMKAN
372,banten,SMA
373,jawa timur,D3
373,jawa timur,S1
374,jawa barat,TIDAK DICANTUMKAN
375,dki jakarta,S1
376,banten,S1
377,jawa tengah,D3
378,dki jakarta,D3
378,dki jakarta,S1
378,dki jakarta,PROFESI
379,dki jakarta,S1
380,dki jakarta,S1
381,dki jakarta,S1
382,tidak diketahui,TIDAK DICANTUMKAN
383,dki jakarta,S1
384,dki jakarta,D3
384,dki jakarta,S1
384,dki jakarta,S2
384,dki jakarta,S3
385,dki jakarta,TIDAK DICANTUMKAN
386,riau,TIDAK DICANTUMKAN
387,dki jakarta,S1
388,bali,TIDAK DICANTUMKAN
389,banten,S1
390,jawa timur,S1
391,dki jakarta,S1
392,dki jakarta,S1
393,banten,D3
393,banten,S1
394,kalimantan barat,D3
395,dki jakarta,S1
395,dki jakarta,S2
395,dki jakarta,D3
396,dki jakarta,D3
396,dki jakarta,S1
397,jawa timur,S1
398,jawa timur,S1
399,dki jakarta,D3
400,jawa barat,S1
401,dki jakarta,D3
402,dki jakarta,S1
403,jawa barat,D3
403,jawa barat,S1
404,dki jakarta,D3
405,dki jakarta,S3
406,jawa barat,D3
407,dki jakarta,PROFESI
408,dki jakarta,D3
408,dki jakarta,S1
409,dki jakarta,TIDAK DICANTUMKAN
410,dki jakarta,S1
411,dki jakarta,D3
412,dki jakarta,S1
413,bali,D3
414,dki jakarta,S1
415,dki jakarta,D3
416,dki jakarta,D3
417,jawa timur,TIDAK DICANTUMKAN
418,dki jakarta,SMA
419,dki jakarta,S1
420,jawa barat,S1
421,dki jakarta,S1
422,tidak diketahui,TIDAK DICANTUMKAN
423,dki jakarta,S1
424,banten,TIDAK DICANTUMKAN
425,tidak diketahui,S1
426,jawa barat,S1
427,sumatera selatan,S1
428,jawa timur,PROFESI
429,dki jakarta,D3
430,dki jakarta,TIDAK DICANTUMKAN
431,tidak diketahui,S1
432,dki jakarta,S1
433,dki jakarta,TIDAK DICANTUMKAN
434,dki jakarta,TIDAK DICANTUMKAN
435,tidak diketahui,TIDAK DICANTUMKAN
436,tidak diketahui,S1
437,tidak diketahui,S1
438,dki jakarta,D3
438,dki jakarta,S1
439,dki jakarta,S1
440,dki jakarta,S1
440,dki jakarta,PROFESI
441,dki jakarta,S1
441,dki jakarta,PROFESI
